reviewer,ID paper,Paper title,Year of publication,Suitability,Country,Area,Wallace bioregion,Taxon,Specie/s name/s,Number of species,Energy,How,Where,Why,When,Geographical scale,Ecological scale,Tracking method,Ecosystem,time period data,Short,Medium,Large,Comments
jmpg,2,"Bat activity, composition, and collision mortality at a large wind plant in Minnesota",2004,Yes,USA,North America,Neartic,Flying mammals,Lasiurus cinereus/ Lasiurus borealis/ Eptesicus fuscus / Lasionycteris noctivagans / Myotis lucifugus,5,Eolic terrestrial,Yes,No,No,No,local,species,Bioacustic,forests,NA,Yes,Yes,No,Estes es el único que tengo dudas. Trabajan presencia y mortalidad de murciélagos con seguimientos acústicos y anillamientos.
AG,4,Collision risk modelling for tidal energy devices: A flexible simulation-based approach,2021,Yes,NA,NA,NA,Marine mammal,Phoca vitulina,1,Tidal power,Yes,No,No,No,global,species,No tracking,oceans/coasts,NA,Yes,No,No,"Based on movement simulations, and not on movement data.There is no study site"
Cara,5,The Use of Animal-Borne Biologging and Telemetry Data to Quantify Spatial Overlap of Wildlife with Marine Renewables,2021,Yes,Scotland,Europe,Paleartic,Birds,Phalacrocorax aristotelis,1,Tidal power,No,Doubt,No,No,local,individuals,Biologgers,oceans/coasts,2012-2014,Yes,No,No,"Not fully convinced we should keep this, but I have filled out the columns so I'll leave the final call to you. The paper presents a method for determining space use from biologging and telemetry data, and relates this to the location of existing tidal turbines. No real mention of effects of the turbines on space use, but instead just quantifying overlap."
jmpg,10,Modeling the Probability of Overlap Between Marine Fish Distributions and Marine Renewable Energy Infrastructure Using Acoustic Telemetry Data,2022,Yes,Canada,North America,Neartic,Fish,Morone saxatilis,1,Tidal power,No,No,No,No,local,individuals,Biologgers,oceans/coasts,2020-2021,Yes,No,Yes,NA
Assandri,14,Vertical migrations of fish schools determine overlap with a mobile tidal stream marine renewable energy device,2020,Yes,UK,Europe,Paleartic,Fish,Sprattus sprattus/Merlangius merlangus,2,Tidal power,No,No,No,No,local,populations,Other,oceans/coasts,2016-2017,Yes,No,No,"Tracking method: Echosounder (sonar). This study describe fish daily movements in the water column in a tidal RE infrastructure project area aiming at estimating the potential overlap between fish movements and tidal kite movements. However the infrastucture is not present, thus it impossible to detect direct impacts of RE on movements."
jmpg,15,Habitat use of bats in relation to wind turbines revealed by GPS tracking,2018,Yes,Germany,Europe,Paleartic,Flying mammals,Nyctalus noctula,1,Eolic terrestrial,Yes,Yes,No,No,local,individuals,Biologgers,forests,2014,Yes,Yes,No,NA
AG,16,Barriers to movement: impacts of wind farms on migrating birds,2009,Yes,Denmark,Europe,Paleartic,Birds,NA,NA,Offshore eolic,Yes,No,No,No,local,species,Radar,farmlands,2000-2005,Yes,No,No,They evaluated all birds in the radar and didn't provided species' names
Jon,18,Oceanic records of North American bats and implications for offshore wind energy development in the United States,2021,Yes,USA,North America,Neartic,Flying mammals,Bats,6,Offshore eolic,No,No,No,No,regional,species,Bioacustic,oceans/coasts,NA,No,No,Yes,NA
Jon,19,Assessing the impact of marine wind farms on birds through movement modelling,2012,Yes,Denmark,Europe,Paleartic,Birds,Common eider,1,Eolic terrestrial,Yes,No,Yes,No,local,populations,Radar,oceans/coasts,2003-2005,Yes,No,No,Authors developed animal movement models based on radar data
JMR-G,20,Combining acoustic tracking and hydrodynamic modelling to study migratory behaviour of Atlantic salmon (Salmo salar) smolts on entry into high-energy coastal waters,2021,Yes,Scotland,Europe,Paleartic,Fish,Salmo salar,1,Tidal power,No,No,No,No,local,individuals,Biologgers,oceans/coasts,2016,No,No,Yes,Tracking method: accoustic telemetry (not really biologger but biotelemetry). Ecosystem: river mouth
jp,23,Individual consistency in the foraging behaviour of Northern Gannets: Implications for interactions with offshore renewable energy developments,2013,Yes,United Kindom,Europe,Paleartic,Birds,Sula bassunus,1,Offshore eolic,No,No,No,No,regional,individuals,Biologgers,oceans/coasts,2011,Yes,No,No,Study based on Home Range estimations and potential future overlap with off-shore wind farms
