id_paper;MDS1;MDS2;year_publication;country;area;wallace_bioregion;number_sp;energy;how;where;when;why;geographical_scale;organizational_lvl;tracking_method;ecosystem;spatial_scale;spatial_ext;organizational_lvl_fact;Ecosystem;ecological_scale
2;-0,1763414653082221;0,266229016978831501;2004;USA;North America;Neartic;5;Eolic terrestrial;Yes;No;No;No;local;3;Bioacustic;forests;Multi_scale;1;species;forests;species
4;-0,2041419954331507;-0,310891834224864161;2021;NA;NA;NA;1;Tidal power;Yes;No;No;No;global;3;No tracking;oceans/coasts;Short_scale;4;species;oceans/coasts;species
5;0,1050206544594373;0,010312930775251224;2021;Scotland;Europe;Paleartic;1;Tidal power;No;Yes;No;No;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
10;0,1090353155762911;0,008816741915509803;2022;Canada;North America;Neartic;1;Tidal power;No;No;No;No;local;1;Biologgers;oceans/coasts;Multi_scale;1;individuals;oceans/coasts;individuals
14;-0,0682675600513201;0,061449165729677763;2020;UK;Europe;Paleartic;2;Tidal power;No;No;No;No;local;2;Other;oceans/coasts;Short_scale;1;populations;oceans/coasts;populations
15;0,0881455629522789;0,028327856769223034;2018;Germany;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;local;1;Biologgers;forests;Multi_scale;1;individuals;forests;individuals
18;-0,2658195017095667;-0,027466904612870120;2021;USA;North America;Neartic;6;Offshore eolic;No;No;No;No;regional;3;Bioacustic;oceans/coasts;Large_scale;2;species;oceans/coasts;species
19;-0,0406581205308914;0,102608025955320675;2012;Denmark;Europe;Paleartic;1;Eolic terrestrial;Yes;No;No;Yes;local;2;radar;oceans/coasts;Short_scale;1;populations;oceans/coasts;populations
20;0,0966647515056158;0,011268587648978173;2021;Scotland;Europe;Paleartic;1;Tidal power;No;No;No;No;local;1;Biologgers;oceans/coasts;Large_scale;1;individuals;oceans/coasts;individuals
23;0,1350181193028303;-0,064414397293263592;2013;United Kindom;Europe;Paleartic;1;Offshore eolic;No;No;No;No;regional;1;Biologgers;oceans/coasts;Short_scale;2;individuals;oceans/coasts;individuals
24;-0,2580282438558852;0,224135917066979939;2013;United States;North America;Neartic;15;Eolic terrestrial;No;Yes;No;No;local;4;No tracking;other;Medium_scale;1;communities;other;communities
27;0,0932556236460714;0,011345671846972787;2021;United Kingdom;Europe;Paleartic;1;Hydroelectric;Yes;Yes;No;Yes;local;1;radar;freshwaters;Multi_scale;1;individuals;freshwaters;individuals
32;0,1098664627295759;0,024959092779061335;2022;Japan;East Asia;Sino-Japanese;2;Offshore eolic;No;Yes;No;No;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
37;0,1020096425203714;-0,075737594075592454;2021;United States;North America;Neartic;1;Eolic terrestrial;No;Yes;No;Yes;regional;1;Biologgers;other;Multi_scale;2;individuals;other;individuals
40;0,0873295177318046;0,009956026466069733;2021;South Africa;South Africa;Afrotropical;1;Eolic terrestrial;Yes;Yes;Yes;Yes;local;1;Biologgers;grasslands/shrublands/Savannahs;Multi_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
41;0,1293581246332377;0,088042296998150457;2007;Denmark;Europe;Paleartic;1;Offshore eolic;Yes;Yes;No;No;local;1;Other;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
43;-0,0384818411200138;0,060991956524235391;2015;England;Europe;Paleartic;1;Offshore eolic;Yes;No;No;No;local;2;Biologgers;oceans/coasts;Short_scale;1;populations;oceans/coasts;populations
44;0,1473090355473048;-0,126325933935254597;2018;NA;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;continental;1;Biologgers;other;Large_scale;3;individuals;other;individuals
46;0,0636057515451908;0,055583020435827774;2017;Steuben Maine;North America;Neartic;2;Offshore eolic;Yes;Yes;Yes;No;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
47;0,0756955346053316;0,024623232966840995;2018;United Kingdom;Europe;Paleartic;1;Offshore eolic;Yes;No;Yes;No;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
48;0,0776783001183147;0,019993057103821297;2019;Australia;Australia;Australian;1;Eolic terrestrial;Yes;No;No;No;local;1;Biologgers;peatlands;Short_scale;1;individuals;peatlands;individuals
51;-0,0425684293648442;0,026941390346114143;2020;Belgium;Europe;Paleartic;1;Offshore eolic;No;Yes;No;No;local;2;Biologgers;farmlands;Short_scale;1;populations;farmlands;populations
54;0,0839472387006712;0,060085379597610671;2012;UK;Europe;Paleartic;1;Offshore eolic;No;Yes;No;No;local;1;radar;farmlands;Large_scale;1;individuals;farmlands;individuals
56;-0,0376924873203772;0,048584249146488019;2016;UK;Europe;Paleartic;1;Eolic terrestrial;No;No;No;No;local;2;Biologgers;peatlands;Multi_scale;1;populations;peatlands;populations
57;-0,0444435650056115;0,021980633434182880;2021;Scotland;Europe;Paleartic;1;Offshore eolic;No;Yes;No;No;local;2;Biologgers;farmlands;Short_scale;1;populations;farmlands;populations
58;0,0708889567766907;0,040138707806888753;2015;Scotland;Europe;Paleartic;1;Eolic terrestrial;Yes;No;No;No;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
59;-0,0471262523594377;0,022785204095342768;2022;United Kingdon (Scotland);Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;local;2;Biologgers;grasslands/shrublands/Savannahs;Short_scale;1;populations;grasslands/shrublands/Savannahs;populations
60;0,0495701985866091;0,135908712024740058;2015;Switzerland;Europe;Paleartic;11;Eolic terrestrial;Yes;Yes;No;No;local;1;radar;mountains;Multi_scale;1;individuals;mountains;individuals
61;0,0731021701954002;0,018607372363358222;2019;Scotland/UK;Europe;Paleartic;1;Tidal power;No;No;No;No;local;1;No tracking;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
63;0,0966998605312321;0,023274268506542933;2022;United Kingdom;Europe;Paleartic;2;Offshore eolic;Yes;Yes;No;Yes;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
70;-0,3156509295518718;0,021417010840721409;2018;England;Europe;Paleartic;6;Hydroelectric;Yes;Yes;No;No;regional;4;Biologgers;freshwaters;Multi_scale;2;communities;freshwaters;communities
71;0,0843339004523889;0,064287150483299083;2011;Japan;East Asia;Sino-Japanese;1;Eolic terrestrial;Yes;Yes;Yes;Yes;local;1;No tracking;freshwaters;Short_scale;1;individuals;freshwaters;individuals
73;0,0666250730423019;0,021373617165350155;2018;Scotland;Europe;Paleartic;1;Tidal power;Yes;Yes;Yes;Yes;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
74;0,1232706665605006;0,088843876914680639;2006;United Kingdom;Europe;Paleartic;1;Offshore eolic;Yes;Yes;Yes;Yes;local;1;Biologgers;oceans/coasts;Multi_scale;1;individuals;oceans/coasts;individuals
76;0,0741607469253698;0,007364942775419767;2021;Germany, Denmark;Europe;Paleartic;1;Offshore eolic;Yes;Yes;No;No;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
77;0,0736526278043295;0,006815111182714733;2021;United Kingdom;Europe;Paleartic;1;Tidal power;Yes;Yes;No;Yes;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
78;0,0627082552403297;0,025939438827207350;2017;Germany;Europe;Paleartic;1;Offshore eolic;No;Yes;No;No;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
79;0,0647407243276321;0,020921236194525260;2018;United States;North America;Neartic;1;Eolic terrestrial;No;Yes;Yes;No;local;1;Biologgers;other;Short_scale;1;individuals;other;individuals
82;0,0634643907545359;0,019881845297028900;2018;Ireland;Europe;Paleartic;1;Tidal power;Yes;Yes;Yes;Yes;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
85;0,0624583854535129;0,019231117735716674;2018;New Jersey y Massachusetts;North America;NA;1;Offshore eolic;Yes;Yes;Yes;No;local;1;No tracking;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
89;0,0597784691684599;0,034777328045434493;2015;Sweden;Europe;Paleartic;1;Eolic terrestrial;No;Yes;Yes;Yes;local;1;Biologgers;mountains;Multi_scale;1;individuals;mountains;individuals
90;0,0772163282093905;-0,071173218548286496;2018;Finland;Europe;Paleartic;1;Eolic terrestrial;No;No;No;No;regional;1;Biologgers;oceans/coasts;Medium_scale;2;individuals;oceans/coasts;individuals
93;0,0752405469820256;0,002224355925220152;2022;Wyoming;North America;Neartic;1;Eolic terrestrial;No;Yes;No;No;local;1;Biologgers;other;Large_scale;1;individuals;other;individuals
100;0,0554574187314697;0,032656568618337267;2015;New Jersey y Massachusetts;North America;Neartic;1;Offshore eolic;Yes;Yes;No;No;local;1;No tracking;oceans/coasts;Large_scale;1;individuals;oceans/coasts;individuals
101;0,0725980342916548;0,000440294219580394;2022;Spain;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;Yes;local;1;Biologgers;grasslands/shrublands/Savannahs;Short_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
102;0,0659611018957778;0,002830404379096192;2021;Sweeden;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;No;local;1;Biologgers;forests;Short_scale;1;individuals;forests;individuals
106;0,0997415871279475;0,077949761996771227;2008;Denmark;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;Yes;local;1;No tracking;grasslands/shrublands/Savannahs;Short_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
107;0,0645169174706162;0,002226138133219300;2021;Scotland;Europe;Paleartic;1;Tidal power;No;Yes;Yes;Yes;local;1;Bioacustic;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
108;0,0329534028746096;0,076509156862091129;2016;Denmark;Europe;Paleartic;4;Offshore eolic;Yes;Yes;No;No;local;1;radar;oceans/coasts;Large_scale;1;individuals;oceans/coasts;individuals
109;-0,1181265727896023;-0,073459905488103952;2021;Belgium;Europe;Paleartic;3;Offshore eolic;No;No;No;No;regional;2;Bioacustic;oceans/coasts;Large_scale;2;populations;oceans/coasts;populations
113;-0,2055487817250295;-0,036799902429742945;2014;Mexico;North America;Neartic;2;Eolic terrestrial;Yes;No;Yes;Yes;regional;3;radar;mountains;Large_scale;2;species;mountains;species
114;0,0319622890317234;0,051038509485501579;2018;United States;North America;Neartic;3;Eolic terrestrial;Yes;Yes;Yes;Yes;local;1;Biologgers;farmlands;Short_scale;1;individuals;farmlands;individuals
115;-0,0390621825535003;0,010826468995625284;2020;Spain;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;No;local;2;Biologgers;other;Large_scale;1;populations;other;populations
118;0,0414081233054072;0,058699828835588365;2014;Lesotho;South Africa;Afrotropical;2;Eolic terrestrial;No;No;No;No;local;1;Biologgers;mountains;Short_scale;1;individuals;mountains;individuals
121;0,0520114467208684;0,041165493062336876;2013;Norway;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;local;1;Biologgers;oceans/coasts;Multi_scale;1;individuals;oceans/coasts;individuals
122;0,0601509569238573;-0,079846631959571868;2020;Norway;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;Yes;Yes;regional;1;Biologgers;other;Short_scale;2;individuals;other;individuals
123;-0,0422274781818431;0,050744453319213706;2013;Great Britain;Europe;Paleartic;1;Hydroelectric;Yes;Yes;No;Yes;local;2;Biologgers;freshwaters;Multi_scale;1;populations;freshwaters;populations
124;0,0706424335185581;-0,087561072858968289;2022;Switzerland;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;regional;1;Biologgers;other;Short_scale;2;individuals;other;individuals
125;-0,1879600483127364;0,173405100438407178;2010;Scotland;Europe;Paleartic;9;Offshore eolic;Yes;No;No;No;local;3;No tracking;oceans/coasts;Short_scale;1;species;oceans/coasts;species
126;0,0485118237281224;0,011828576947027067;2018;Germany;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;No;local;1;Biologgers;grasslands/shrublands/Savannahs;Short_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
127;0,0545702183566222;0,179938981754267452;2009;The Netherlands;Europe;Paleartic;13;Eolic terrestrial;No;Yes;Yes;No;local;1;radar;farmlands;Multi_scale;1;individuals;farmlands;individuals
128;0,0384433902487359;0,142918486657225285;2014;Italy;Europe;Paleartic;14;Eolic terrestrial;Yes;Yes;No;Yes;local;1;No tracking;mountains;Short_scale;1;individuals;mountains;individuals
129;0,0467912884040397;0,027134414929300153;2015;South Africa;South Africa;Afrotropical;1;Eolic terrestrial;Yes;Yes;Yes;Yes;local;1;Biologgers;mountains;Multi_scale;1;individuals;mountains;individuals
130;0,0675917026023410;-0,089147793959720001;2022;Belgiun;Europe;Paleartic;1;Offshore eolic;Yes;Yes;Yes;Yes;regional;1;Bioacustic;oceans/coasts;Short_scale;2;individuals;oceans/coasts;individuals
132;0,0476853659476033;0,010353939676013340;2018;USA;North America;Neartic;1;Eolic terrestrial;No;No;No;No;local;1;Biologgers;farmlands;Short_scale;1;individuals;farmlands;individuals
133;0,0526221393937772;0,000779145305389485;2020;New Zealand;Oceanian;Australian;1;Hydroelectric;No;Yes;Yes;Yes;local;1;Bioacustic;freshwaters;Multi_scale;1;individuals;freshwaters;individuals
138;0,0554494803867331;-0,004034059184888449;2021;Spain;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;Yes;local;1;Biologgers;grasslands/shrublands/Savannahs;Short_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
141;0,0500187974726439;-0,000501414811595226;2020;UK;Europe;Paleartic;1;Offshore eolic;Yes;No;No;No;local;1;Bioacustic;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
142;0,0232618143769238;0,103073911952995881;2017;France;Europe;Paleartic;8;Hydroelectric;No;Yes;No;No;local;1;Bioacustic;freshwaters;Short_scale;1;individuals;freshwaters;individuals
147;-0,2762597730288217;0,113404646379261800;2021;Germany;Europe;Paleartic;9;Eolic terrestrial;Yes;No;No;Yes;local;4;Other;farmlands;Short_scale;1;communities;farmlands;communities
148;0,0443146621830890;0,006385274586903730;2018;Sweden;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;Yes;No;local;1;Biologgers;forests;Short_scale;1;individuals;forests;individuals
149;0,0192325763456656;0,073876175346360706;2018;UK;Europe;Paleartic;5;Tidal power;Yes;Yes;No;Yes;local;1;Bioacustic;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
151;-0,3132617127432786;0,237407204512138703;2009;USA;North America;Neartic;36;Eolic terrestrial;Yes;Yes;Yes;No;local;4;Other;mountains;Short_scale;1;communities;mountains;communities
