id_paper;MDS1;MDS2;year_publication;country;country_cor;area;wallace_bioregion;number_sp;energy;how;where;when;why;geographical_scale;organizational_lvl;tracking_method;ecosystem;spatial_scale;spatial_ext;organizational_lvl_fact;Ecosystem;ecological_scale
2;-0,1763414653082221;0,26622901697883150;2004;USA;United States of America;North America;Neartic;5;Eolic terrestrial;Yes;No;No;No;local;3;Bioacustic;forests;Multi_scale;1;species;forests;species
4;-0,2041419954331507;-0,31089183422486416;2021;NA;NA;NA;NA;1;Tidal power;Yes;No;No;No;global;3;No tracking;oceans/coasts;Short_scale;4;species;oceans/coasts;species
5;0,1050206544594373;0,01031293077525122;2021;Scotland;United Kingdom;Europe;Paleartic;1;Tidal power;No;Yes;No;No;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
10;0,1090353155762911;0,00881674191550980;2022;Canada;Canada;North America;Neartic;1;Tidal power;No;No;No;No;local;1;Biologgers;oceans/coasts;Multi_scale;1;individuals;oceans/coasts;individuals
14;-0,0682675600513201;0,06144916572967776;2020;UK;United Kingdom;Europe;Paleartic;2;Tidal power;No;No;No;No;local;2;Other;oceans/coasts;Short_scale;1;populations;oceans/coasts;populations
15;0,0881455629522789;0,02832785676922303;2018;Germany;Germany;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;local;1;Biologgers;forests;Multi_scale;1;individuals;forests;individuals
18;-0,2658195017095667;-0,02746690461287012;2021;USA;United States of America;North America;Neartic;6;Offshore eolic;No;No;No;No;regional;3;Bioacustic;oceans/coasts;Large_scale;2;species;oceans/coasts;species
19;-0,0406581205308914;0,10260802595532068;2012;Denmark;Denmark;Europe;Paleartic;1;Eolic terrestrial;Yes;No;No;Yes;local;2;radar;oceans/coasts;Short_scale;1;populations;oceans/coasts;populations
20;0,0966647515056158;0,01126858764897817;2021;Scotland;United Kingdom;Europe;Paleartic;1;Tidal power;No;No;No;No;local;1;Biologgers;oceans/coasts;Large_scale;1;individuals;oceans/coasts;individuals
23;0,1350181193028303;-0,06441439729326359;2013;United Kindom;United Kingdom;Europe;Paleartic;1;Offshore eolic;No;No;No;No;regional;1;Biologgers;oceans/coasts;Short_scale;2;individuals;oceans/coasts;individuals
24;-0,2580282438558852;0,22413591706697991;2013;United States;United States of America;North America;Neartic;15;Eolic terrestrial;No;Yes;No;No;local;4;No tracking;other;Medium_scale;1;communities;other;communities
27;0,0932556236460714;0,01134567184697278;2021;United Kingdom;United Kingdom;Europe;Paleartic;1;Hydroelectric;Yes;Yes;No;Yes;local;1;radar;freshwaters;Multi_scale;1;individuals;freshwaters;individuals
32;0,1098664627295759;0,02495909277906133;2022;Japan;Japan;East Asia;Sino-Japanese;2;Offshore eolic;No;Yes;No;No;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
37;0,1020096425203714;-0,07573759407559245;2021;United States;United States of America;North America;Neartic;1;Eolic terrestrial;No;Yes;No;Yes;regional;1;Biologgers;other;Multi_scale;2;individuals;other;individuals
40;0,0873295177318046;0,00995602646606973;2021;South Africa;South Africa;South Africa;Afrotropical;1;Eolic terrestrial;Yes;Yes;Yes;Yes;local;1;Biologgers;grasslands/shrublands/Savannahs;Multi_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
41;0,1293581246332377;0,08804229699815044;2007;Denmark;Denmark;Europe;Paleartic;1;Offshore eolic;Yes;Yes;No;No;local;1;Other;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
43;-0,0384818411200138;0,06099195652423539;2015;England;United Kingdom;Europe;Paleartic;1;Offshore eolic;Yes;No;No;No;local;2;Biologgers;oceans/coasts;Short_scale;1;populations;oceans/coasts;populations
44;0,1473090355473048;-0,12632593393525460;2018;NA;NA;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;continental;1;Biologgers;other;Large_scale;3;individuals;other;individuals
46;0,0636057515451908;0,05558302043582777;2017;Steuben Maine;United States of America;North America;Neartic;2;Offshore eolic;Yes;Yes;Yes;No;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
47;0,0756955346053316;0,02462323296684099;2018;United Kingdom;United Kingdom;Europe;Paleartic;1;Offshore eolic;Yes;No;Yes;No;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
48;0,0776783001183147;0,01999305710382129;2019;Australia;Australia;Australia;Australian;1;Eolic terrestrial;Yes;No;No;No;local;1;Biologgers;peatlands;Short_scale;1;individuals;peatlands;individuals
51;-0,0425684293648442;0,02694139034611414;2020;Belgium;Belgium;Europe;Paleartic;1;Offshore eolic;No;Yes;No;No;local;2;Biologgers;farmlands;Short_scale;1;populations;farmlands;populations
54;0,0839472387006712;0,06008537959761067;2012;UK;United Kingdom;Europe;Paleartic;1;Offshore eolic;No;Yes;No;No;local;1;radar;farmlands;Large_scale;1;individuals;farmlands;individuals
56;-0,0376924873203772;0,04858424914648801;2016;UK;United Kingdom;Europe;Paleartic;1;Eolic terrestrial;No;No;No;No;local;2;Biologgers;peatlands;Multi_scale;1;populations;peatlands;populations
57;-0,0444435650056115;0,02198063343418288;2021;Scotland;United Kingdom;Europe;Paleartic;1;Offshore eolic;No;Yes;No;No;local;2;Biologgers;farmlands;Short_scale;1;populations;farmlands;populations
58;0,0708889567766907;0,04013870780688875;2015;Scotland;United Kingdom;Europe;Paleartic;1;Eolic terrestrial;Yes;No;No;No;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
59;-0,0471262523594377;0,02278520409534276;2022;United Kingdon (Scotland);United Kingdom;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;local;2;Biologgers;grasslands/shrublands/Savannahs;Short_scale;1;populations;grasslands/shrublands/Savannahs;populations
60;0,0495701985866091;0,13590871202474003;2015;Switzerland;Switzerland;Europe;Paleartic;11;Eolic terrestrial;Yes;Yes;No;No;local;1;radar;mountains;Multi_scale;1;individuals;mountains;individuals
61;0,0731021701954002;0,01860737236335822;2019;Scotland/UK;United Kingdom;Europe;Paleartic;1;Tidal power;No;No;No;No;local;1;No tracking;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
63;0,0966998605312321;0,02327426850654293;2022;United Kingdom;United Kingdom;Europe;Paleartic;2;Offshore eolic;Yes;Yes;No;Yes;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
70;-0,3156509295518718;0,02141701084072140;2018;England;United Kingdom;Europe;Paleartic;6;Hydroelectric;Yes;Yes;No;No;regional;4;Biologgers;freshwaters;Multi_scale;2;communities;freshwaters;communities
71;0,0843339004523889;0,06428715048329908;2011;Japan;Japan;East Asia;Sino-Japanese;1;Eolic terrestrial;Yes;Yes;Yes;Yes;local;1;No tracking;freshwaters;Short_scale;1;individuals;freshwaters;individuals
73;0,0666250730423019;0,02137361716535015;2018;Scotland;United Kingdom;Europe;Paleartic;1;Tidal power;Yes;Yes;Yes;Yes;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
74;0,1232706665605006;0,08884387691468063;2006;United Kingdom;United Kingdom;Europe;Paleartic;1;Offshore eolic;Yes;Yes;Yes;Yes;local;1;Biologgers;oceans/coasts;Multi_scale;1;individuals;oceans/coasts;individuals
76;0,0741607469253698;0,00736494277541976;2021;Germany, Denmark;Denmark;Europe;Paleartic;1;Offshore eolic;Yes;Yes;No;No;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
77;0,0736526278043295;0,00681511118271473;2021;United Kingdom;United Kingdom;Europe;Paleartic;1;Tidal power;Yes;Yes;No;Yes;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
78;0,0627082552403297;0,02593943882720735;2017;Germany;Germany;Europe;Paleartic;1;Offshore eolic;No;Yes;No;No;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
79;0,0647407243276321;0,02092123619452526;2018;United States;United States of America;North America;Neartic;1;Eolic terrestrial;No;Yes;Yes;No;local;1;Biologgers;other;Short_scale;1;individuals;other;individuals
82;0,0634643907545359;0,01988184529702890;2018;Ireland;Ireland;Europe;Paleartic;1;Tidal power;Yes;Yes;Yes;Yes;local;1;Biologgers;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
85;0,0624583854535129;0,01923111773571667;2018;New Jersey y Massachusetts;United States of America;North America;NA;1;Offshore eolic;Yes;Yes;Yes;No;local;1;No tracking;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
89;0,0597784691684599;0,03477732804543449;2015;Sweden;Sweden;Europe;Paleartic;1;Eolic terrestrial;No;Yes;Yes;Yes;local;1;Biologgers;mountains;Multi_scale;1;individuals;mountains;individuals
90;0,0772163282093905;-0,07117321854828650;2018;Finland;Finland;Europe;Paleartic;1;Eolic terrestrial;No;No;No;No;regional;1;Biologgers;oceans/coasts;Medium_scale;2;individuals;oceans/coasts;individuals
93;0,0752405469820256;0,00222435592522015;2022;Wyoming;United States of America;North America;Neartic;1;Eolic terrestrial;No;Yes;No;No;local;1;Biologgers;other;Large_scale;1;individuals;other;individuals
