ID paper;Year of publication;Country;Area;Wallace bioregion;Number of species;Energy;How;Where;When;Why;Geographical scale;Ecological scale;Tracking method;Ecosystem;Spatial_scale
2;2004;USA;North America;Neartic;5;Eolic terrestrial;Yes;No;No;No;local;species;Bioacustic;forests;Multi_scale
4;2021;NA;NA;NA;1;Tidal power;Yes;No;No;No;global;species;No tracking;oceans/coasts;Short_scale
5;2021;Scotland;Europe;Paleartic;1;Tidal power;No;Doubt;No;No;local;individuals;Biologgers;oceans/coasts;Short_scale
10;2022;Canada;North America;Neartic;1;Tidal power;No;No;No;No;local;individuals;Biologgers;oceans/coasts;Multi_scale
14;2020;UK;Europe;Paleartic;2;Tidal power;No;No;No;No;local;populations;Other;oceans/coasts;Short_scale
15;2018;Germany;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;local;individuals;Biologgers;forests;Multi_scale
16;2009;Denmark;Europe;Paleartic;NA;Offshore eolic;Yes;No;No;No;local;species;radar;farmlands;Short_scale
18;2021;USA;North America;Neartic;6;Offshore eolic;No;No;No;No;regional;species;Bioacustic;oceans/coasts;Large_scale
19;2012;Denmark;Europe;Paleartic;1;Eolic terrestrial;Yes;No;No;Yes;local;populations;radar;oceans/coasts;Short_scale
20;2021;Scotland;Europe;Paleartic;1;Tidal power;No;No;No;No;local;individuals;Biologgers;oceans/coasts;Large_scale
23;2013;United Kindom;Europe;Paleartic;1;Offshore eolic;No;No;No;No;regional;individuals;Biologgers;oceans/coasts;Short_scale
24;2013;United States;North America;Neartic;15;Eolic terrestrial;No;Yes;No;No;local;communities;No tracking;other;Medium_scale
27;2021;United Kingdom;Europe;Paleartic;1;Hydroelectric;Yes;Yes;No;Yes;local;individuals;radar;freshwaters;Multi_scale
32;2022;Japan;East Asia;Sino-Japanese;2;Offshore eolic;No;Yes;No;No;local;individuals;Biologgers;oceans/coasts;Short_scale
37;2021;United States;North America;Neartic;1;Eolic terrestrial;No;Yes;No;Yes;regional;individuals;Biologgers;other;Multi_scale
40;2021;South Africa;South Africa;Afrotropical;1;Eolic terrestrial;Yes;Yes;Yes;Yes;local;individuals;Biologgers;grasslands/shrublands/Savannahs;Multi_scale
41;2007;Denmark;Europe;Paleartic;1;Offshore eolic;Yes;Yes;No;No;local;individuals;Other;oceans/coasts;Short_scale
43;2015;England;Europe;Paleartic;1;Offshore eolic;Yes;No;No;No;local;populations;Biologgers;oceans/coasts;Short_scale
44;2018;NA;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;continental;individuals;Biologgers;other;Large_scale
46;2017;Steuben Maine;North America;Neartic;2;Offshore eolic;Yes;Yes;Yes;No;local;individuals;Biologgers;oceans/coasts;Short_scale
47;2018;United Kingdom;Europe;Paleartic;1;Offshore eolic;Yes;No;Yes;No;local;individuals;Biologgers;oceans/coasts;Short_scale
48;2019;Australia;Australia;Australian;1;Eolic terrestrial;Yes;No;No;No;local;individuals;Biologgers;peatlands;Short_scale
51;2020;Belgium;Europe;Paleartic;1;Offshore eolic;No;Yes;No;No;local;populations;Biologgers;farmlands;Short_scale
54;2012;UK;Europe;Paleartic;1;Offshore eolic;No;Yes;No;No;local;individuals;radar;farmlands;Large_scale
56;2016;UK;Europe;Paleartic;1;Eolic terrestrial;No;No;No;No;local;populations;Biologgers;peatlands;Multi_scale
57;2021;Scotland;Europe;Paleartic;1;Offshore eolic;No;Yes;No;No;local;populations;Biologgers;farmlands;Short_scale
58;2015;Scotland;Europe;Paleartic;1;Eolic terrestrial;Doubt;No;No;No;local;individuals;Biologgers;oceans/coasts;Short_scale
59;2022;United Kingdon (Scotland);Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;local;populations;Biologgers;grasslands/shrublands/Savannahs;Short_scale
60;2015;Switzerland;Europe;Paleartic;11;Eolic terrestrial;Yes;Yes;No;No;local;individuals;radar;mountains;Multi_scale
61;2019;Scotland/UK;Europe;Paleartic;1;Tidal power;No;No;No;No;local;individuals;No tracking;oceans/coasts;Short_scale
63;2022;United Kingdom;Europe;Paleartic;2;Offshore eolic;Yes;Yes;No;Yes;local;individuals;Biologgers;oceans/coasts;Short_scale
64;2013;Switzerland;Europe;Paleartic;NA;Eolic terrestrial;Doubt;No;No;No;local;communities;Other;other;Large_scale
70;2018;England;Europe;Paleartic;6;Hydroelectric;Yes;Yes;No;No;regional;communities;Biologgers;freshwaters;Multi_scale
71;2011;Japan;East Asia;Sino-Japanese;1;Eolic terrestrial;Yes;Yes;Yes;Yes;local;individuals;No tracking;freshwaters;Short_scale
73;2018;Scotland;Europe;Paleartic;1;Tidal power;Yes;Yes;Yes;Yes;local;individuals;Biologgers;oceans/coasts;Short_scale
74;2006;United Kingdom;Europe;Paleartic;1;Offshore eolic;Yes;Yes;Yes;Yes;local;individuals;Biologgers;oceans/coasts;Multi_scale
76;2021;Germany, Denmark;Europe;Paleartic;1;Offshore eolic;Yes;Yes;No;No;local;individuals;Biologgers;oceans/coasts;Short_scale
77;2021;United Kingdom;Europe;Paleartic;1;Tidal power;Yes;Yes;No;Doubt;local;individuals;Biologgers;oceans/coasts;Short_scale
78;2017;Germany;Europe;Paleartic;1;Offshore eolic;No;Yes;No;No;local;individuals;Biologgers;oceans/coasts;Short_scale
79;2018;United States;North America;Neartic;1;Eolic terrestrial;No;Yes;Yes;No;local;individuals;Biologgers;other;Short_scale
80;2021;China;East Asia;Oriental;NA;Eolic terrestrial;Yes;Yes;Yes;No;regional;communities;No tracking;oceans/coasts;Multi_scale
